,Laps,Charles Leclerc,Carlos Sainz,Max Verstappen,Sergio Perez,Lewis Hamilton,George Russel,Kevin Magnussen,Mick Schumacher,Valtteri Bottas,Zhou Guanyu,Esteban Ocon,Fernando Alonso,Nico Hulkenberg,Lance Stroll,Yuki Tsunoda,Pierre Gasly,Lando Norris,Daniel Ricciardo,Nicholas Latifi,Alexander Albon
0,0,1,3,2,4,5,9,7,12,6,15,11,8,17,19,16,10,13,18,20,14
1,1,1,3,2,6,4,7,5,13,14,19,10,9,15,17,12,8,16,20,18,11
2,2,1,3,2,6,4,7,5,13,14,18,10,9,15,16,12,8,17,20,19,11
3,3,1,3,2,5,4,7,6,13,14,17,10,9,15,16,12,8,18,20,19,11
4,4,1,3,2,5,4,7,6,13,14,16,10,9,15,17,12,8,18,20,19,11
5,5,1,3,2,5,4,6,7,13,14,15,10,9,16,17,11,8,18,20,19,12
6,6,1,3,2,5,4,6,7,14,13,15,10,9,16,17,11,8,18,19,20,12
7,7,1,3,2,5,4,6,7,15,13,14,10,9,16,17,11,8,18,20,19,12
8,8,1,3,2,5,4,6,7,15,12,14,9,10,16,17,11,8,18,20,19,13
9,9,1,3,2,5,4,6,7,15,12,14,9,10,17,16,11,8,18,20,19,13
10,10,1,3,2,4,5,6,7,16,12,13,9,10,17,15,11,8,18,20,19,14
11,11,1,3,2,4,5,6,7,16,12,13,9,11,17,15,10,8,18,20,19,14
12,12,1,3,2,4,12,5,6,17,10,11,8,20,15,14,9,7,16,18,19,13
13,13,1,3,2,4,11,5,6,20,10,12,8,17,15,13,9,7,16,18,19,14
14,14,1,4,2,3,10,5,6,19,11,12,8,14,15,13,9,7,16,17,18,20
15,15,1,5,4,2,6,3,9,18,17,8,16,11,13,10,7,12,14,15,20,19
16,16,1,3,2,4,5,6,7,17,16,18,11,9,12,10,14,8,13,15,20,19
17,17,1,3,2,4,5,6,7,17,13,16,11,9,15,10,12,8,14,18,20,19
18,18,1,3,2,4,5,6,7,16,13,15,10,9,17,12,11,8,14,20,19,18
19,19,1,3,2,4,5,6,7,14,12,13,10,9,17,19,11,8,15,20,18,16
20,20,1,3,2,4,5,6,7,14,12,13,10,9,20,18,11,8,15,19,17,16
21,21,1,3,2,4,5,6,7,14,12,13,10,9,20,17,11,8,15,19,18,16
22,22,1,3,2,4,5,6,7,14,12,13,10,9,20,17,11,8,16,19,18,15
23,23,1,3,2,4,5,6,7,14,12,13,10,9,20,17,11,8,16,19,18,15
24,24,1,3,2,4,5,6,7,14,12,13,10,9,20,16,11,8,17,19,18,15
25,25,1,3,2,4,5,6,7,14,12,13,9,10,19,16,11,8,20,18,17,15
26,26,1,3,2,4,5,6,7,13,11,12,9,14,19,16,10,8,20,18,17,15
27,27,1,3,2,4,5,6,7,13,11,12,9,14,19,15,10,8,20,18,17,16
28,28,1,3,2,4,8,5,6,13,11,12,9,14,19,15,10,7,20,17,18,16
29,29,1,3,2,4,8,5,6,13,10,12,9,14,19,15,11,7,20,17,18,16
30,30,1,3,2,4,8,5,6,13,10,11,9,12,19,15,14,7,20,17,18,16
31,31,1,2,4,3,7,5,6,12,9,10,13,11,19,15,14,8,20,17,18,16
32,32,3,1,4,2,7,5,6,13,9,10,12,11,18,15,14,8,19,17,20,16
33,33,3,1,4,2,6,5,7,14,8,9,12,11,18,15,13,10,19,17,20,16
34,34,1,3,2,4,5,7,6,14,8,9,12,11,18,15,13,10,17,19,20,16
35,35,1,3,2,4,5,6,10,14,7,8,12,11,18,15,13,9,17,19,20,16
36,36,1,3,2,4,5,6,9,15,7,8,12,11,17,14,13,10,16,19,20,18
37,37,1,3,2,4,5,6,7,15,13,9,11,10,17,14,12,8,16,19,20,18
38,38,1,3,2,4,5,6,7,15,12,13,9,10,20,14,11,8,16,18,19,17
39,39,1,3,2,4,5,6,7,14,12,13,9,10,20,16,11,8,15,18,19,17
40,40,1,3,2,4,5,6,7,14,12,13,9,11,20,16,10,8,15,18,19,17
41,41,1,3,2,4,5,6,7,14,12,13,9,11,20,15,10,8,16,18,19,17
42,42,1,3,2,4,5,6,7,14,11,13,9,12,20,15,10,8,19,17,18,16
43,43,1,3,2,4,5,6,7,13,11,12,9,14,20,15,10,8,18,17,19,16
44,44,1,2,3,5,4,6,7,13,9,11,12,14,20,15,10,8,18,17,19,16
45,45.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,11.0,8.0,9.0,10.0,13.0,19.0,14.0,12.0,,16.0,18.0,17.0,15.0
46,46.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,10.0,8.0,13.0,9.0,12.0,19.0,15.0,11.0,,17.0,16.0,18.0,14.0
47,47.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,10.0,8.0,13.0,9.0,12.0,19.0,14.0,11.0,,17.0,16.0,18.0,15.0
48,48.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,10.0,8.0,13.0,9.0,12.0,19.0,14.0,11.0,,17.0,16.0,18.0,15.0
49,49.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,10.0,8.0,13.0,9.0,12.0,19.0,14.0,11.0,,17.0,16.0,18.0,15.0
50,50.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,10.0,8.0,13.0,9.0,12.0,19.0,14.0,11.0,,17.0,16.0,18.0,15.0
51,51.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,12.0,8.0,13.0,9.0,11.0,19.0,14.0,10.0,,17.0,16.0,18.0,15.0
52,52.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,13.0,8.0,12.0,9.0,11.0,19.0,14.0,10.0,,17.0,16.0,18.0,15.0
53,53.0,1.0,3.0,2.0,4.0,5.0,6.0,7.0,13.0,8.0,12.0,9.0,11.0,19.0,14.0,10.0,,17.0,16.0,18.0,15.0
54,54.0,1.0,2.0,13.0,3.0,4.0,5.0,6.0,12.0,7.0,11.0,8.0,10.0,19.0,14.0,9.0,,17.0,16.0,18.0,15.0
55,55.0,1.0,2.0,,3.0,4.0,5.0,6.0,12.0,7.0,11.0,8.0,10.0,18.0,13.0,9.0,,16.0,15.0,17.0,14.0
56,56.0,1.0,2.0,,3.0,4.0,5.0,6.0,12.0,7.0,11.0,8.0,10.0,18.0,13.0,9.0,,16.0,15.0,17.0,14.0
57,57.0,1.0,2.0,,,3.0,4.0,5.0,11.0,6.0,10.0,7.0,9.0,17.0,12.0,8.0,,15.0,14.0,16.0,13.0
